"scenario","zone","DIRV_AM_ends_sum","DIRV_PM_ends_sum","DIRV_AM_starts_sum","DIRV_PM_starts_sum"
"2019_base_121520",142,50.46,73.38,50.46,73.38
"2019_base_121520",149,3091.92005,1853.23999,1204.89,3077.32013
"2019_base_121520",150,8.26,12.05,8.26,12.05
"2019_base_121520",151,309.22,445.21,309.22,445.21002
"2019_base_121520",152,120.48,174.74,120.48,174.74
"2019_base_121520",153,0.43,0.83,0.43,0.83
"2019_base_121520",154,737.61999,1989.83008,2137.55,1093.42004
"2019_base_121520",155,25.13,36.52,24.74,38.28999
"2019_base_121520",222,1267.79,631.71,408.48,1159.21
"2019_base_121520",223,23.5,32.81,22.05,39.2
"2019_base_121520",224,93.68,42.57,27.49,82.2
"2019_base_121520",225,0,0,0,0
"2019_base_121520",226,269.5,247.11,166.52,282.69
"2019_base_121520",227,2020.23,942.1,605.52,1809.29
"2019_base_121520",228,17.32,24.86,17.01,26.03
"2019_base_121520",229,45.94,67.43,45.94,67.43
"2019_base_121520",230,571.13,1234.24,1294.23,742.53
"2019_base_121520",237,34.77,49.93,34.19,52.45
"2019_base_121520",238,343.89,398.94001,289.17,411.78001
"2019_base_121520",318,169.87,248.55999,169.87001,248.56
"2019_base_121520",329,0.12,0.27,0.12,0.27
"2019_base_121520",344,219.61,587.45998,614.89,329.10999
"2019_base_121520",345,44.91,124.04,129.77,68.07
"2019_base_122920",142,1357.2,1929.62,1921.61,1546.63
"2019_base_122920",149,2115.72998,1105.00003,680.05998,2117.39999
"2019_base_122920",150,305.31,750.24,856.37,385.77
"2019_base_122920",151,8849.04004,4745.5,2902.52978,9071.09998
"2019_base_122920",152,1696.58997,2258.20996,2273.94995,1860.28997
"2019_base_122920",153,113.61,515.95,603.22,178.62
"2019_base_122920",154,1516.18003,2015.16997,2070.12001,1653.96007
"2019_base_122920",155,452.24,618.04002,609.24,501.40002
"2019_base_122920",222,1258.21002,826.00998,547.85001,1298.29004
"2019_base_122920",223,373.46,212.53,130.02,374.37
"2019_base_122920",224,91.19,79.96,67.96,94.69
"2019_base_122920",225,7.12,26.73,31.17,11.87
"2019_base_122920",226,886.12,535.59,330.6,891.4
"2019_base_122920",227,3081.35,1883.05,1107.48,3038.94
"2019_base_122920",228,248.41,134.24,83.05,242.75
"2019_base_122920",229,837.77,482.48,297.84,843.08
"2019_base_122920",230,351.55,952.09,1088.52,455.63
"2019_base_122920",237,565.08002,1008.84999,1074.29001,659.98001
"2019_base_122920",238,1097.57004,647.72001,427.63999,1048.46997
"2019_base_122920",318,1259.02002,737.02002,481.51999,1244.23001
"2019_base_122920",329,1.99,1.08,0.59,1.71
"2019_base_122920",344,610.05002,686.98,644.40003,663.64001
"2019_base_122920",345,110.7,134.7,129.84001,121.42
"tp1_bau_2050_121520",142,1415.54,1846.61,1759.44,1594.95
"tp1_bau_2050_121520",149,2672.15991,1452.36999,909.85002,2690.78992
"tp1_bau_2050_121520",150,487.65,1169.98,1284.74,634.9
"tp1_bau_2050_121520",151,11449.85009,6573.09985,4137.18006,11941.65967
"tp1_bau_2050_121520",152,2433.50006,2576.54998,2331.5699,2663.60993
"tp1_bau_2050_121520",153,129.67,486.36,545.35,199.12
"tp1_bau_2050_121520",154,1785.53995,1953.70004,1824.99003,1909.78011
"tp1_bau_2050_121520",155,481.18999,588.98002,543.24001,532.13001
"tp1_bau_2050_121520",222,1464.08996,922.86999,615.26,1451.73004
"tp1_bau_2050_121520",223,481.29,276.76999,174.31999,475.22001
"tp1_bau_2050_121520",224,129.91,166.02001,155.83001,144.29
"tp1_bau_2050_121520",225,10.48,33.03,37.16,16.56
"tp1_bau_2050_121520",226,1070.62,643.2,410.32,1041.72
"tp1_bau_2050_121520",227,3497,2295.51,1414.95,3527.74
"tp1_bau_2050_121520",228,303.02,167.87,105.5,295.8
"tp1_bau_2050_121520",229,999.37,571.28,361.57,983.33
"tp1_bau_2050_121520",230,392.95,848.63,925.42,489.37
"tp1_bau_2050_121520",237,605.04002,938.98003,931.46997,701.28998
"tp1_bau_2050_121520",238,1185.65997,704.59,471.26003,1122.83999
"tp1_bau_2050_121520",318,1554.68997,910.29999,595.7,1526.29995
"tp1_bau_2050_121520",329,5.89,2.99,1.67,5.6
"tp1_bau_2050_121520",344,719.77002,731.21997,652.79996,766.91999
"tp1_bau_2050_121520",345,128.49,130.26,117.86,135.36
"tp1_c_2050_121520",142,1419.14,1842.56,1755.43,1595.18
"tp1_c_2050_121520",149,2686.57995,1452.56,909.74997,2701.39997
"tp1_c_2050_121520",150,487.27,1167.34,1282.36,633.33
"tp1_c_2050_121520",151,12816.79981,8306.6803,5756.48975,13641.63017
"tp1_c_2050_121520",152,2860.70001,4372.27015,4420.01999,3331.94013
"tp1_c_2050_121520",153,129.12,484.77,543.67,197.79
"tp1_c_2050_121520",154,1788.66,1946.82005,1819.18999,1907.10995
"tp1_c_2050_121520",155,482.77003,589.63997,543.03001,533.21002
"tp1_c_2050_121520",222,1468.64997,919.46002,612.81999,1452.83002
"tp1_c_2050_121520",223,482.89,276.27001,173.98001,475.81
"tp1_c_2050_121520",224,129.36,165.4,155.18,143.77
"tp1_c_2050_121520",225,10.39,32.94,37.09,16.6
"tp1_c_2050_121520",226,1143.87,688.44,439.22,1133.48
"tp1_c_2050_121520",227,3743.57,2481.4,1535.82,3807.9
"tp1_c_2050_121520",228,304.8,167.78,105.7,296.75
"tp1_c_2050_121520",229,1004.15,569.59,360.03,985.15
"tp1_c_2050_121520",230,392.14,845.06,922.5,487.76
"tp1_c_2050_121520",237,605.85,935.55002,928.74,700.69001
"tp1_c_2050_121520",238,1191.54001,704.25,471.4,1126.15005
"tp1_c_2050_121520",318,1864.89996,1544.97003,1214.12,1967.95011
"tp1_c_2050_121520",329,6.34,3,1.69,5.83
"tp1_c_2050_121520",344,722.35001,729.48997,651.31,767.56
"tp1_c_2050_121520",345,128.7,129.88,117.5,135.59999
"tp2_bau_2050_121520",142,1418.42,1853.66,1763.23,1600.3
"tp2_bau_2050_121520",149,2672.10987,1452.42004,909.82999,2690.67999
"tp2_bau_2050_121520",150,486.57,1165.63,1282.26,632.97
"tp2_bau_2050_121520",151,11450.39014,6573.09008,4137.29987,11941.61035
"tp2_bau_2050_121520",152,2429.88,2564.99997,2325.32007,2655.02003
"tp2_bau_2050_121520",153,129.4,485.36,544.61,198.57
