"","A","B","RT_TYPE","DIRV_AM","DIRV_PM","A_subareaRP","B_subareaRP","scenario"
"1",139,722843,99,72.4,113.13,0,5,"2019_base_121520"
"2",333,714045,99,962.3623,505.63596,0,1,"2019_base_121520"
"3",709158,710369,3,1167.98657,1574.80005,0,4,"2019_base_121520"
"4",709631,713731,1,6871.79785,8574.75586,0,2,"2019_base_121520"
"5",710320,710990,3,1480.65173,1305.56982,0,4,"2019_base_121520"
"6",710369,709158,3,1198.80981,1974.2467,4,0,"2019_base_121520"
"7",710966,710320,3,909.88049,1659.526,4,0,"2019_base_121520"
"8",711306,711684,3,827.12152,384.04453,0,1,"2019_base_121520"
"9",711499,711535,8,1727.89465,1288.79077,0,4,"2019_base_121520"
"10",711535,711499,8,984.77948,1716.80676,4,0,"2019_base_121520"
"11",711814,711306,3,538.13165,1286.7843,1,0,"2019_base_121520"
"12",713723,713971,6,643.86914,495.85379,0,1,"2019_base_121520"
"13",713749,715511,8,184.25,234.26817,0,2,"2019_base_121520"
"14",713971,713723,6,180.55507,615.81818,1,0,"2019_base_121520"
"15",714045,333,99,84.34274,317.10147,1,0,"2019_base_121520"
"16",714063,714335,7,57.5,218.90152,4,0,"2019_base_121520"
"17",714335,714063,7,308.56,82.21935,0,4,"2019_base_121520"
"18",714335,717024,6,636.35492,271.2486,0,5,"2019_base_121520"
"19",715511,713749,8,378.82,267.89603,2,0,"2019_base_121520"
"20",715511,717143,6,3.11,3.88025,2,0,"2019_base_121520"
"21",717024,714335,6,199.93,708.19,5,0,"2019_base_121520"
"22",717137,709650,1,5721.77002,8753.45996,1,0,"2019_base_121520"
"23",717143,715511,6,2.5,4.43655,0,2,"2019_base_121520"
"24",718467,718620,6,309.57495,378.8074,5,0,"2019_base_121520"
"25",718620,718467,6,191.87325,331.50497,0,5,"2019_base_121520"
"26",720928,721585,3,2432.01294,2340.8916,0,5,"2019_base_121520"
"27",721585,720928,3,1575.16785,3538.29004,5,0,"2019_base_121520"
"28",721737,779011,3,2104.91113,1221.52979,5,0,"2019_base_121520"
"29",722118,722193,8,309.16345,908.73792,2,0,"2019_base_121520"
"30",722193,722118,8,1631.57263,864.47601,0,2,"2019_base_121520"
"31",722261,721615,3,1136.35669,2292.35498,0,5,"2019_base_121520"
"32",722735,724032,2,897.73059,1747.61072,3,0,"2019_base_121520"
"33",722834,723129,1,3429.28101,3924.22754,2,0,"2019_base_121520"
"34",722843,139,99,79.57,116.06,5,0,"2019_base_121520"
"35",723183,722882,1,1710.29224,2827.50439,0,2,"2019_base_121520"
"36",723650,724606,3,1984.75769,1482.99756,5,0,"2019_base_121520"
"37",724032,722735,2,1810.37,1327.67102,0,3,"2019_base_121520"
"38",724456,728525,1,11709.18945,12577.29395,3,0,"2019_base_121520"
"39",724552,723472,3,808.73315,1762.30823,0,5,"2019_base_121520"
"40",726744,727320,6,285.26031,467.14185,3,0,"2019_base_121520"
"41",727320,726744,6,440.29,453.4649,0,3,"2019_base_121520"
"42",730515,724742,1,9679.48535,15834.14844,0,3,"2019_base_121520"
"43",139,722843,99,935.45,824.26038,0,5,"2019_base_122920"
"44",333,714045,99,938.33521,949.6842,0,1,"2019_base_122920"
"45",709158,710369,3,3129.20752,4729.08301,0,4,"2019_base_122920"
"46",709631,713731,1,13378.3623,12796.93066,0,2,"2019_base_122920"
"47",710320,710990,3,4652.81104,5136.72021,0,4,"2019_base_122920"
"48",710369,709158,3,4804.69238,4338.9707,4,0,"2019_base_122920"
"49",710966,710320,3,5138.06982,4877.28613,4,0,"2019_base_122920"
