"A_merged_zone","inside_cordon","zone_139","zone_140","zone_143","zone_145","zone_155","zone_160","zone_164","zone_233","zone_237","zone_244","zone_245","zone_319","zone_327","zone_333"
"inside_cordon",0,11655.1629,5361.18555,1086.37415,1844.28168,1842.96594,23972.2168,5016.78381,1674.6966,5138.06982,1380.01953,221.96498,3129.45654,4804.69238,10352.07077
"zone_139",3554.61211,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_140",9959.74366,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_143",1176.76648,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_145",3211.89838,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_155",3481.12012,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_156",13378.3623,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_160",18938.80859,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_164",5443.28504,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_233",2676.98255,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_237",4652.81104,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_239",11201.52734,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_244",4204.21484,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_245",357.8866,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_327",3129.20752,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_333",938.33521,0,0,0,0,0,0,0,0,0,0,0,0,0,0
