"","A_merged_zone","subarea_1","subarea_2","subarea_3","subarea_4","subarea_5","zone_139","zone_140","zone_143","zone_145","zone_155","zone_160","zone_164","zone_233","zone_237","zone_244","zone_245","zone_319","zone_327","zone_333"
"1","subarea_1",0,0,0,0,0,0,0,0,0,538.13165,0,0,180.55507,0,0,0,0,0,5806.11276
"2","subarea_2",0,0,0,0,0,0,0,0,0,0,0,0,378.82,0,309.16345,3.11,3429.28101,0,0
"3","subarea_3",0,0,0,0,0,0,0,0,0,0,11709.18945,1182.9909,0,0,0,0,0,0,0
"4","subarea_4",0,0,0,0,0,0,0,0,1179.96564,0,0,0,0,909.88049,0,0,0,1198.80981,0
"5","subarea_5",0,0,0,0,0,4169.23882,1575.16785,309.57495,199.93,0,0,0,0,0,0,0,0,0,0
"6","zone_139",0,0,0,0,881.13315,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","zone_140",0,0,0,0,3568.36963,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","zone_143",0,0,0,0,191.87325,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","zone_145",0,0,0,2174.14078,636.35492,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","zone_155",827.12152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","zone_156",0,6871.79785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","zone_160",0,0,9679.48535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","zone_164",0,0,2250.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","zone_233",643.86914,184.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","zone_237",0,0,0,1480.65173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","zone_239",0,1710.29224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","zone_244",0,1631.57263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","zone_245",0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","zone_327",0,0,0,1167.98657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","zone_333",962.3623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
