"","A_merged_zone","subarea_1","subarea_2","subarea_3","subarea_4","subarea_5","zone_139","zone_140","zone_143","zone_145","zone_155","zone_160","zone_164","zone_233","zone_237","zone_244","zone_245","zone_319","zone_327","zone_333"
"1","subarea_1",0,0,0,0,0,0,0,0,0,2159.77148,0,0,659.30212,0,0,0,0,0,11764.1752
"2","subarea_2",0,0,0,0,0,0,0,0,0,0,0,0,1225.52771,0,1391.9552,230.21715,4298.73926,0,0
"3","subarea_3",0,0,0,0,0,0,0,0,0,0,28403.56445,5334.24719,0,0,0,0,0,0,0
"4","subarea_4",0,0,0,0,0,0,0,0,2463.87939,0,0,0,0,4431.4873,0,0,0,4432.86865,0
"5","subarea_5",0,0,0,0,0,14583.57886,6035.98486,1246.60962,99.70954,0,0,0,0,0,0,0,0,0,0
"6","zone_139",0,0,0,0,3442.06323,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","zone_140",0,0,0,0,9714.62304,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","zone_143",0,0,0,0,1053.89905,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","zone_145",0,0,0,2949.54364,509.82599,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","zone_155",5863.62207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","zone_156",0,18049.91016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","zone_160",0,0,19612.57031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","zone_164",0,0,5164.14454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","zone_233",1978.72925,963.06061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","zone_237",0,0,0,5974.42822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","zone_239",0,14612.17383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","zone_244",0,5487.63867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","zone_245",0,983.02319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","zone_327",0,0,0,4432.84814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","zone_333",1065.43457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
