"A_merged_zone","inside_cordon","zone_139","zone_140","zone_143","zone_145","zone_155","zone_160","zone_164","zone_233","zone_237","zone_244","zone_245","zone_319","zone_327","zone_333"
"inside_cordon",0,14519.26044,6029.64404,1367.1665,2105.92564,2176.03711,29005.68164,5389.79541,1924.46014,4476.04248,1382.34314,260.4707,4280.10156,4474.01025,12003.91195
"zone_139",3494.26916,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_140",9674.20996,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_143",1145.27209,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_145",3002.69861,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_155",5635.68604,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_156",19267.76563,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_160",19953.92773,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_164",5138.79278,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_233",2960.92621,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_237",5932.6582,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_239",14603.24121,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_244",5425.3457,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_245",998.38062,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_327",4217.42627,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_333",1037.45032,0,0,0,0,0,0,0,0,0,0,0,0,0,0
