"","A_merged_zone","subarea_1","subarea_2","subarea_3","subarea_4","subarea_5","zone_139","zone_140","zone_143","zone_145","zone_155","zone_160","zone_164","zone_233","zone_237","zone_244","zone_245","zone_319","zone_327","zone_333"
"1","subarea_1",0,0,0,0,0,0,0,0,0,2371.68506,0,0,702.49384,0,0,0,0,0,12062.90912
"2","subarea_2",0,0,0,0,0,0,0,0,0,0,0,0,1211.35095,0,1425.42981,259.51294,4442.13818,0,0
"3","subarea_3",0,0,0,0,0,0,0,0,0,0,29205.82031,5641.36133,0,0,0,0,0,0,0
"4","subarea_4",0,0,0,0,0,0,0,0,2560.29444,0,0,0,0,4577.0249,0,0,0,4569.4541,0
"5","subarea_5",0,0,0,0,0,14911.94135,5996.02197,1332.20056,97.77746,0,0,0,0,0,0,0,0,0,0
"6","zone_139",0,0,0,0,3529.03699,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","zone_140",0,0,0,0,9730.94824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","zone_143",0,0,0,0,1049.38306,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","zone_145",0,0,0,2963.23528,554.71661,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","zone_155",5624.03564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","zone_156",0,19192.50391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","zone_160",0,0,20177.51172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","zone_164",0,0,5219.79627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","zone_233",1985.84985,954.01648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","zone_237",0,0,0,5948.82617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","zone_239",0,14420.48047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","zone_244",0,4964.31592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","zone_245",0,1003.32538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","zone_327",0,0,0,4158.37842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","zone_333",999.38422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
