"A_merged_zone","inside_cordon","zone_139","zone_140","zone_143","zone_145","zone_155","zone_160","zone_164","zone_233","zone_237","zone_244","zone_245","zone_319","zone_327","zone_333"
"inside_cordon",0,15232.87793,6089.64355,1528.3916,2270.83322,2536.72559,28803.5957,5729.59228,1858.417,4241.31006,1406.85522,249.356,4449.13184,4602.04541,11980.36044
"zone_139",3247.81677,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_140",9959.1875,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_143",1282.04614,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_145",2959.89483,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_155",5726.15039,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_156",19358.23242,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_160",19854.25391,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_164",5295.29883,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_233",2881.15838,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_237",5649.98145,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_239",14384.17285,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_244",5125.08154,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_245",955.63116,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_327",4444.70264,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_333",963.51691,0,0,0,0,0,0,0,0,0,0,0,0,0,0
