F_TAZ,142,149,150,151,152,153,154,155,222,223,224,225,226,227,228,229,230,237,238,318,329,330,341,344,345
142,5.11,31.5,3.25,55.75,12.6,0.2,5.05,1.52,4.85,1.75,0.43,0.02,8.6,28.67,2.92,3.28,1.1,7.62,17.41,9.43,0.05,0.16,5.66,2.44,0.42
149,7.75,4.74,3,93.39,24.02,1.27,11.94,3.26,8.16,3.17,1.06,0.11,3.52,8.91,1.97,5.72,3.13,2.37,3.48,18.87,0.01,0.2,0.89,4.75,0.82
150,11.22,25.27,0.98,187.38,27.51,0.31,18.19,4.12,20.97,6.65,1.47,0.07,9.17,44.43,2.95,12.74,2.66,2.17,7.49,30.83,0.04,0.07,1.6,8.05,1.56
151,21.29,136.7,28.26,207.18,114.71,4.54,46.79,14.45,36.81,15.46,4.82,0.46,59.4,157.32,15.74,28.6,12.58,30.7,63.58,48.73,0.36,2.94,8.81,22.84,3.69
152,19.68,112.12,14.57,370.4,22.14,0.76,41.78,14.05,21.67,9,2.1,0.11,37.58,129.46,12.93,18.02,4.56,29.38,59,41.7,0.23,0.59,8.45,12.07,2.01
153,1.29,12.46,1.02,37.48,4.06,0.08,4.07,0.82,4.2,1.61,0.3,0.01,6.48,20.73,1.46,3.06,1.19,1.31,4.74,4.1,0.06,0.06,0.84,3.34,0.43
154,4.86,43.05,5.99,124.95,25.7,0.53,7.62,4.52,10.88,4.95,1.06,0.07,17.13,53.48,5.06,12.27,2.58,7.79,19.87,15.71,0.11,0.41,2.97,8.45,1.1
155,1.64,11.27,1.67,36.49,10.61,0.12,5.39,0.58,2.73,1.16,0.28,0.01,4.38,13.88,1.29,2.29,0.6,2.85,6.06,4.35,0.03,0.1,0.87,1.6,0.26
222,1.54,9.6,3.27,30.43,4.88,0.53,3.52,0.8,1.5,1.25,0.43,0.11,6.92,16.8,1.19,2.35,1.74,1.7,5.15,3.38,0.04,0.5,0.91,2.3,0.96
223,0.45,3.12,0.91,9.82,1.9,0.21,1.48,0.32,1.03,0.25,0.15,0.01,1.48,3.42,0.37,0.87,0.49,0.63,1.23,1.03,0.01,0.15,0.22,0.75,0.12
224,0.44,4.09,0.47,16.68,1.46,0.06,1.19,0.25,1.34,0.66,0.07,NA,2.02,6.57,0.52,1.11,0.22,0.45,1.63,1.68,0.01,0.04,0.3,0.77,0.13
225,0.1,0.91,0.11,3.06,0.3,NA,0.26,0.05,0.92,0.13,0.02,NA,0.73,2.25,0.11,0.22,0.05,0.11,0.37,0.28,NA,NA,0.07,0.15,0.05
226,2.63,3.48,1.48,42.3,11.05,0.9,5.31,1.3,5.73,1.48,0.54,0.09,1.48,5.63,0.41,3.26,1.99,1.16,1.08,5.58,0.01,0.16,0.33,2.77,0.57
227,8.38,8.74,9.58,102.3,37.08,3.95,16.3,3.96,13.38,3.42,1.9,0.41,5.63,8.25,0.98,7.19,7.99,3.91,2.96,16.25,0.02,1.05,0.91,7.92,1.73
228,0.82,1.93,0.37,10.11,3.12,0.16,1.49,0.39,1.01,0.37,0.13,0.01,0.41,0.98,0.08,0.72,0.39,0.32,0.43,1.86,NA,0.03,0.1,0.58,0.1
229,0.88,5.64,1.7,17.42,3.35,0.34,2.98,0.59,1.94,0.87,0.28,0.03,3.26,7.19,0.72,0.64,1.02,1.22,3.28,2.12,0.01,0.26,0.51,2.72,0.27
230,2.49,23.21,2.3,68.57,8.3,0.26,7.38,1.38,8.63,3,0.57,0.03,11.44,38.01,2.71,5.87,1.39,2.36,9.76,7.5,0.1,0.13,1.61,7.08,0.98
237,12.09,8.36,1.42,114.16,32.15,0.25,13.96,4.25,7.16,3.05,0.69,0.04,2.83,10.87,1.03,6.12,1.39,0.96,4.41,13.52,NA,0.05,0.85,3.68,0.61
238,4.65,4.05,1.04,51.92,15.71,0.88,6.89,2.06,5.11,1.46,0.45,0.05,1.28,4.03,0.51,3.71,1.88,1.62,1.19,7.36,NA,0.08,0.59,2.35,0.39
318,4.39,50.48,5.62,78.63,17.41,0.48,8.53,2.33,6.05,2.65,0.66,0.05,11.32,36.65,4.87,4.79,1.46,4.88,14.85,1.76,0.06,0.34,2.63,3.67,0.61
329,0.01,0.01,NA,0.24,0.04,NA,0.02,0.01,0.04,0.01,NA,NA,0.01,0.02,NA,0.01,0.01,NA,NA,0.02,NA,NA,NA,0.01,0.01
330,1.04,1.99,0.22,24.16,2.85,0.06,2.63,0.47,3.87,1.08,0.21,0.01,1.17,5.03,0.23,2.07,0.5,0.18,0.69,2.84,NA,0.02,0.15,1.35,0.37
341,2.29,1.32,0.31,10.08,2.5,0.12,1.33,0.37,1.16,0.36,0.11,0.01,0.47,1.42,0.15,0.79,0.36,0.28,0.81,1.96,NA,0.03,0.24,0.57,0.1
344,1.9,15.24,2.16,53.62,6.57,0.53,6.61,1.16,5.62,2.55,0.56,0.03,7.44,22.97,1.82,10.81,2.32,1.87,6.21,5.63,0.06,0.2,1.06,0.71,0.56
345,0.34,2.66,0.42,9.31,1.14,0.08,0.95,0.19,3.15,0.44,0.1,0.01,1.66,5.12,0.31,0.94,0.27,0.32,1.07,0.96,0.02,0.05,0.18,0.55,0.02
