F_TAZ,142,149,150,151,152,153,154,155,222,223,224,225,226,227,228,229,230,237,238,318,329,330,341,344,345
142,5.75,12.58,8.96,24.94,10.3,1.02,4.9,1.65,2.26,0.71,0.41,0.08,3.95,13.4,1.31,1.39,2.19,11.41,6.98,3.2,0.01,0.82,3.04,2.09,0.37
149,28.93,6.84,22.48,144.41,57.26,11.02,43.24,11.73,15.16,5.36,4.23,0.82,5.79,14.22,3.51,9.47,20.31,8.37,6.72,28.14,0.03,1.74,1.9,15.86,2.79
150,3.77,5.34,1.13,39.56,11.45,0.93,7.39,2.12,5.15,1.5,0.55,0.11,2.3,18.32,0.63,2.77,2.19,1.81,1.64,6,0.01,0.2,0.46,2.77,0.54
151,52.69,142.4,152.72,179.99,190.21,32.59,121.77,37.52,43.13,14.56,16.11,2.84,62.84,141.7,15.06,25.7,59.29,98.95,73.59,36.88,0.34,20.07,11.75,52,9.09
152,11.8,29.25,23.7,102.95,12.89,3.71,25.1,10.79,5.66,2.26,1.36,0.25,11.43,35.78,3.69,4.17,6.96,29.51,17.4,10.88,0.05,2.31,2.68,6.22,1.07
153,0.29,2.23,0.42,7.09,1,0.1,0.83,0.19,0.85,0.35,0.09,0.01,1.32,7.1,0.27,0.56,0.37,0.37,1.34,0.63,0.01,0.06,0.19,0.84,0.11
154,5.18,19.96,15.44,57.01,22.23,3.32,8.21,5.59,5.4,2.53,1.22,0.23,8.4,27.61,2.45,5.02,6.33,12.32,10.44,6.94,0.05,2.12,1.77,7.33,1.03
155,1.56,5.31,3.74,17.81,7.8,0.7,4.81,0.73,1.22,0.52,0.26,0.05,2.02,6.74,0.64,0.98,1.24,3.9,3.14,2.13,0.01,0.41,0.49,1.29,0.22
222,4.27,13.99,16.53,39.32,9.87,3.38,10.09,2.47,2.14,1.77,1.29,0.75,9.4,21.23,1.74,3.33,7.11,6.04,7.78,4.17,0.07,2.87,1.5,5.55,3.13
223,1.53,5.4,5.27,14.85,4.21,1.36,4.83,1.11,1.92,0.41,0.62,0.1,2.46,5.68,0.62,1.53,2.51,2.62,2.22,1.44,0.01,0.87,0.46,2.45,0.43
224,0.4,1.81,1.23,5.92,1.15,0.26,1.13,0.29,0.68,0.26,0.08,NA,0.87,3.36,0.2,0.47,0.49,0.66,0.7,0.5,0.01,0.17,0.15,0.6,0.1
225,0.04,0.18,0.11,0.67,0.1,NA,0.12,0.03,0.19,0.03,0.01,NA,0.14,0.76,0.02,0.06,0.06,0.06,0.08,0.06,NA,NA,0.01,0.06,0.01
226,7.31,5.82,6.78,63.59,17.97,4.67,15.36,3.83,10.12,2.46,1.77,0.52,2.24,9.13,0.69,5.47,8.65,2.71,1.85,7.71,0.01,0.83,0.59,7.2,1.55
227,24.67,14.31,38.15,144.1,58.33,17.02,49.1,12.49,23.29,5.68,6.09,1.84,9.13,11.39,1.58,11.68,31.9,10.18,5.32,18.97,0.04,4.33,1.66,21.81,4.91
228,2.84,3.54,2.41,15.38,6.55,1.18,4.9,1.27,1.87,0.62,0.47,0.09,0.69,1.58,0.11,1.2,2.21,0.99,0.82,2.65,NA,0.19,0.2,1.8,0.3
229,2.9,9.51,10.03,26.28,8.18,2.5,11.32,2.19,3.6,1.53,1.04,0.18,5.47,11.68,1.2,0.89,4.96,5.26,5.43,2.93,0.04,1.66,0.98,10.57,0.89
230,1.27,5.37,2.37,17.2,3.23,1.08,3.07,0.69,2.73,0.81,0.25,0.05,3.02,14.27,0.64,1.67,1.47,1.47,2.85,1.51,0.02,0.41,0.51,2.9,0.35
237,8.23,3.87,2.3,37.5,17.42,1.09,8.15,2.97,2.6,1.04,0.49,0.09,1.7,6.16,0.51,2.01,2.1,1.07,2.44,4.47,NA,0.16,0.4,2.26,0.37
238,14.24,6.23,5.64,68.41,28.3,3.8,18.45,5.63,7.78,2.06,1.42,0.28,1.74,4.71,0.77,5.14,7.6,4.19,1.78,8.45,NA,0.51,1.01,5.81,1
318,6.9,25.84,22.33,34.52,17.97,2.84,12.93,3.75,4.31,1.35,1.29,0.21,7.43,17.97,2.48,2.78,5.36,10.44,8.86,1.59,0.03,2,2.17,4.79,0.84
329,0.04,0.03,NA,0.35,0.1,NA,0.1,0.02,0.07,0.01,NA,NA,0.01,0.04,NA,0.04,0.07,NA,NA,0.04,NA,NA,NA,0.05,NA
330,0.24,0.36,0.1,4.55,0.69,0.07,0.63,0.15,0.77,0.25,0.06,NA,0.23,2.05,0.06,0.43,0.16,0.07,0.14,0.44,NA,0.02,0.03,0.32,0.08
341,5.17,1.51,1.27,9.11,4.03,0.66,2.82,0.82,1.33,0.38,0.28,0.05,0.51,1.36,0.17,0.8,1.31,0.76,0.87,1.79,NA,0.12,0.35,1.04,0.18
344,2.42,8,6.65,25.06,6.34,2.95,8.49,1.62,3.48,1.25,0.75,0.13,4.5,13.14,0.96,4.76,6.29,3.47,3.47,2.82,0.03,1.08,0.75,1.01,0.57
345,0.41,1.38,1.27,4.27,1.04,0.37,1.12,0.27,1.54,0.21,0.12,0.04,0.9,2.91,0.16,0.45,0.84,0.55,0.58,0.48,0.01,0.28,0.12,0.57,0.03
